Namespace(batch_size=64, data_shape=416, dataset='coco', epochs=200, gpus='4,5', label_smooth=True, log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,180', lr_decay_period=0, lr_mode='step', mixup=False, momentum=0.9, no_mixup_epochs=20, no_random_shape=False, no_wd=False, num_samples=117266, num_workers=40, optimizer='sgd', resume='', save_interval=1, save_prefix='./results/1/yolo3_tiny_darknet_coco', seed=233, start_epoch=0, syncbn=True, warmup_epochs=2, warmup_lr=0.0, wd=0.0005)
Start training from [Epoch 0]
[E 3] 1353.2 sec, O=32.345, BC=15.021, BS=7.448, C=51.894
[E 4][B 99], LR: 1.00E-03, 151.0 S/s, O=32.268, BC=15.016, BS=7.437, C=51.806
[E 4][B 199], LR: 1.00E-03, 117.5 S/s, O=32.185, BC=15.013, BS=7.427, C=51.725
[E 4][B 299], LR: 1.00E-03, 78.7 S/s, O=32.105, BC=15.007, BS=7.416, C=51.638
[E 4][B 399], LR: 1.00E-03, 75.8 S/s, O=32.023, BC=15.000, BS=7.405, C=51.550
[E 4][B 499], LR: 1.00E-03, 107.6 S/s, O=31.958, BC=14.996, BS=7.394, C=51.472
[E 4][B 599], LR: 1.00E-03, 164.3 S/s, O=31.878, BC=14.992, BS=7.386, C=51.396
[E 4][B 699], LR: 1.00E-03, 109.8 S/s, O=31.807, BC=14.988, BS=7.374, C=51.318
[E 4][B 799], LR: 1.00E-03, 88.6 S/s, O=31.737, BC=14.984, BS=7.362, C=51.244
[E 4][B 899], LR: 1.00E-03, 124.9 S/s, O=31.656, BC=14.977, BS=7.351, C=51.162
[E 4][B 999], LR: 1.00E-03, 73.7 S/s, O=31.591, BC=14.972, BS=7.338, C=51.086
[E 4][B 1099], LR: 1.00E-03, 62.6 S/s, O=31.540, BC=14.975, BS=7.328, C=51.032
[E 4][B 1199], LR: 1.00E-03, 106.0 S/s, O=31.472, BC=14.975, BS=7.322, C=50.974
[E 4][B 1299], LR: 1.00E-03, 128.8 S/s, O=31.418, BC=14.974, BS=7.313, C=50.913
[E 4][B 1399], LR: 1.00E-03, 72.9 S/s, O=31.365, BC=14.970, BS=7.302, C=50.847
[E 4][B 1499], LR: 1.00E-03, 152.0 S/s, O=31.308, BC=14.968, BS=7.294, C=50.786
[E 4][B 1599], LR: 1.00E-03, 105.8 S/s, O=31.231, BC=14.961, BS=7.286, C=50.718
[E 4][B 1699], LR: 1.00E-03, 149.6 S/s, O=31.189, BC=14.965, BS=7.277, C=50.671
[E 4][B 1799], LR: 1.00E-03, 84.0 S/s, O=31.118, BC=14.958, BS=7.267, C=50.599
[E 4] 1304.8 sec, O=31.096, BC=14.957, BS=7.264, C=50.579
[E 5][B 99], LR: 1.00E-03, 104.7 S/s, O=31.034, BC=14.952, BS=7.255, C=50.513
[E 5][B 199], LR: 1.00E-03, 125.2 S/s, O=30.985, BC=14.952, BS=7.248, C=50.464
[E 5][B 299], LR: 1.00E-03, 128.2 S/s, O=30.929, BC=14.950, BS=7.240, C=50.407
[E 5][B 399], LR: 1.00E-03, 63.7 S/s, O=30.882, BC=14.951, BS=7.233, C=50.362
[E 5][B 499], LR: 1.00E-03, 102.1 S/s, O=30.833, BC=14.951, BS=7.226, C=50.313
[E 5][B 599], LR: 1.00E-03, 67.4 S/s, O=30.789, BC=14.953, BS=7.219, C=50.273
[E 5][B 699], LR: 1.00E-03, 98.6 S/s, O=30.736, BC=14.950, BS=7.210, C=50.216
[E 5][B 799], LR: 1.00E-03, 71.0 S/s, O=30.683, BC=14.947, BS=7.203, C=50.162
[E 5][B 899], LR: 1.00E-03, 128.1 S/s, O=30.638, BC=14.945, BS=7.195, C=50.110
[E 5][B 999], LR: 1.00E-03, 95.0 S/s, O=30.593, BC=14.944, BS=7.188, C=50.066
[E 5][B 1099], LR: 1.00E-03, 60.1 S/s, O=30.549, BC=14.941, BS=7.180, C=50.015
[E 5][B 1199], LR: 1.00E-03, 181.5 S/s, O=30.491, BC=14.936, BS=7.172, C=49.958
[E 5][B 1299], LR: 1.00E-03, 107.4 S/s, O=30.444, BC=14.933, BS=7.164, C=49.908
[E 5][B 1399], LR: 1.00E-03, 65.2 S/s, O=30.396, BC=14.930, BS=7.159, C=49.859
[E 5][B 1499], LR: 1.00E-03, 81.7 S/s, O=30.333, BC=14.924, BS=7.152, C=49.805
[E 5][B 1599], LR: 1.00E-03, 126.0 S/s, O=30.292, BC=14.921, BS=7.144, C=49.755
[E 5][B 1699], LR: 1.00E-03, 161.4 S/s, O=30.241, BC=14.915, BS=7.137, C=49.701
[E 5][B 1799], LR: 1.00E-03, 93.7 S/s, O=30.193, BC=14.911, BS=7.129, C=49.654
[E 5] 1381.9 sec, O=30.181, BC=14.912, BS=7.127, C=49.643
[E 6][B 99], LR: 1.00E-03, 74.3 S/s, O=30.131, BC=14.909, BS=7.120, C=49.595
[E 6][B 199], LR: 1.00E-03, 177.4 S/s, O=30.077, BC=14.904, BS=7.113, C=49.546
[E 6][B 299], LR: 1.00E-03, 103.7 S/s, O=30.033, BC=14.904, BS=7.108, C=49.510
[E 6][B 399], LR: 1.00E-03, 96.5 S/s, O=29.996, BC=14.903, BS=7.101, C=49.471
[E 6][B 499], LR: 1.00E-03, 152.7 S/s, O=29.944, BC=14.897, BS=7.094, C=49.421
[E 6][B 599], LR: 1.00E-03, 108.7 S/s, O=29.900, BC=14.893, BS=7.088, C=49.374
[E 6][B 699], LR: 1.00E-03, 94.5 S/s, O=29.861, BC=14.890, BS=7.080, C=49.331
[E 6][B 799], LR: 1.00E-03, 94.3 S/s, O=29.810, BC=14.883, BS=7.073, C=49.277
[E 6][B 899], LR: 1.00E-03, 104.7 S/s, O=29.770, BC=14.880, BS=7.066, C=49.235
[E 6][B 999], LR: 1.00E-03, 158.3 S/s, O=29.720, BC=14.874, BS=7.059, C=49.187
[E 6][B 1099], LR: 1.00E-03, 100.9 S/s, O=29.685, BC=14.874, BS=7.053, C=49.152
[E 6][B 1199], LR: 1.00E-03, 95.8 S/s, O=29.640, BC=14.870, BS=7.048, C=49.112
[E 6][B 1299], LR: 1.00E-03, 134.0 S/s, O=29.602, BC=14.867, BS=7.042, C=49.072
[E 6][B 1399], LR: 1.00E-03, 162.5 S/s, O=29.566, BC=14.864, BS=7.037, C=49.034
[E 6][B 1499], LR: 1.00E-03, 66.3 S/s, O=29.538, BC=14.864, BS=7.031, C=49.000
[E 6][B 1599], LR: 1.00E-03, 76.3 S/s, O=29.506, BC=14.863, BS=7.026, C=48.968
[E 6][B 1699], LR: 1.00E-03, 128.0 S/s, O=29.472, BC=14.862, BS=7.020, C=48.932
[E 6][B 1799], LR: 1.00E-03, 327.8 S/s, O=29.449, BC=14.864, BS=7.016, C=48.910
[E 6] 1314.7 sec, O=29.441, BC=14.864, BS=7.015, C=48.902
[E 7][B 99], LR: 1.00E-03, 70.6 S/s, O=29.408, BC=14.864, BS=7.010, C=48.873
[E 7][B 199], LR: 1.00E-03, 81.1 S/s, O=29.372, BC=14.861, BS=7.005, C=48.835
[E 7][B 299], LR: 1.00E-03, 103.1 S/s, O=29.340, BC=14.859, BS=6.999, C=48.799
[E 7][B 399], LR: 1.00E-03, 69.8 S/s, O=29.316, BC=14.859, BS=6.993, C=48.773
[E 7][B 499], LR: 1.00E-03, 67.3 S/s, O=29.282, BC=14.857, BS=6.988, C=48.741
[E 7][B 599], LR: 1.00E-03, 156.8 S/s, O=29.242, BC=14.853, BS=6.983, C=48.701
[E 7][B 699], LR: 1.00E-03, 61.7 S/s, O=29.215, BC=14.850, BS=6.975, C=48.663
[E 7][B 799], LR: 1.00E-03, 73.4 S/s, O=29.187, BC=14.847, BS=6.968, C=48.626
[E 7][B 899], LR: 1.00E-03, 90.4 S/s, O=29.157, BC=14.846, BS=6.962, C=48.596
[E 7][B 999], LR: 1.00E-03, 153.0 S/s, O=29.118, BC=14.840, BS=6.957, C=48.555
[E 7][B 1099], LR: 1.00E-03, 71.5 S/s, O=29.095, BC=14.841, BS=6.952, C=48.528
[E 7][B 1199], LR: 1.00E-03, 84.2 S/s, O=29.060, BC=14.838, BS=6.947, C=48.495
[E 7][B 1299], LR: 1.00E-03, 134.7 S/s, O=29.030, BC=14.836, BS=6.941, C=48.464
[E 7][B 1399], LR: 1.00E-03, 178.8 S/s, O=28.999, BC=14.835, BS=6.938, C=48.439
[E 7][B 1499], LR: 1.00E-03, 118.1 S/s, O=28.963, BC=14.831, BS=6.934, C=48.405
[E 7][B 1599], LR: 1.00E-03, 50.9 S/s, O=28.941, BC=14.833, BS=6.929, C=48.384
[E 7][B 1699], LR: 1.00E-03, 151.5 S/s, O=28.908, BC=14.830, BS=6.923, C=48.351
[E 7][B 1799], LR: 1.00E-03, 150.0 S/s, O=28.884, BC=14.830, BS=6.918, C=48.326
[E 7] 1329.3 sec, O=28.876, BC=14.829, BS=6.917, C=48.317
[E 8][B 99], LR: 1.00E-03, 49.9 S/s, O=28.851, BC=14.829, BS=6.912, C=48.290
[E 8][B 199], LR: 1.00E-03, 96.4 S/s, O=28.814, BC=14.826, BS=6.909, C=48.261
[E 8][B 299], LR: 1.00E-03, 117.6 S/s, O=28.784, BC=14.824, BS=6.903, C=48.230
[E 8][B 399], LR: 1.00E-03, 169.4 S/s, O=28.755, BC=14.824, BS=6.901, C=48.208
[E 8][B 499], LR: 1.00E-03, 94.7 S/s, O=28.722, BC=14.819, BS=6.896, C=48.173
[E 8][B 599], LR: 1.00E-03, 80.6 S/s, O=28.698, BC=14.818, BS=6.891, C=48.147
[E 8][B 699], LR: 1.00E-03, 168.9 S/s, O=28.675, BC=14.816, BS=6.885, C=48.119
[E 8][B 799], LR: 1.00E-03, 150.4 S/s, O=28.641, BC=14.812, BS=6.881, C=48.090
[E 8][B 899], LR: 1.00E-03, 131.2 S/s, O=28.614, BC=14.810, BS=6.878, C=48.063
[E 8][B 999], LR: 1.00E-03, 92.6 S/s, O=28.595, BC=14.810, BS=6.873, C=48.040
[E 8][B 1099], LR: 1.00E-03, 111.2 S/s, O=28.567, BC=14.807, BS=6.867, C=48.008
[E 8][B 1199], LR: 1.00E-03, 63.9 S/s, O=28.545, BC=14.806, BS=6.864, C=47.985
[E 8][B 1299], LR: 1.00E-03, 88.1 S/s, O=28.518, BC=14.803, BS=6.859, C=47.956
[E 8][B 1399], LR: 1.00E-03, 84.3 S/s, O=28.496, BC=14.803, BS=6.855, C=47.934
[E 8][B 1499], LR: 1.00E-03, 147.5 S/s, O=28.480, BC=14.804, BS=6.850, C=47.917
[E 8][B 1599], LR: 1.00E-03, 125.8 S/s, O=28.450, BC=14.800, BS=6.845, C=47.886
[E 8][B 1699], LR: 1.00E-03, 64.8 S/s, O=28.424, BC=14.797, BS=6.841, C=47.857
[E 8][B 1799], LR: 1.00E-03, 115.9 S/s, O=28.407, BC=14.798, BS=6.838, C=47.841
[E 8] 1332.3 sec, O=28.398, BC=14.798, BS=6.837, C=47.834
[E 9][B 99], LR: 1.00E-03, 111.0 S/s, O=28.368, BC=14.794, BS=6.833, C=47.805
[E 9][B 199], LR: 1.00E-03, 82.6 S/s, O=28.342, BC=14.791, BS=6.828, C=47.774
[E 9][B 299], LR: 1.00E-03, 100.5 S/s, O=28.318, BC=14.788, BS=6.824, C=47.748
[E 9][B 399], LR: 1.00E-03, 141.8 S/s, O=28.296, BC=14.787, BS=6.819, C=47.725
[E 9][B 499], LR: 1.00E-03, 95.7 S/s, O=28.275, BC=14.787, BS=6.816, C=47.706
[E 9][B 599], LR: 1.00E-03, 66.1 S/s, O=28.255, BC=14.785, BS=6.812, C=47.684
[E 9][B 699], LR: 1.00E-03, 102.3 S/s, O=28.237, BC=14.785, BS=6.809, C=47.666
[E 9][B 799], LR: 1.00E-03, 157.4 S/s, O=28.221, BC=14.785, BS=6.805, C=47.644
[E 9][B 899], LR: 1.00E-03, 76.5 S/s, O=28.207, BC=14.786, BS=6.801, C=47.629
[E 9][B 999], LR: 1.00E-03, 82.7 S/s, O=28.186, BC=14.786, BS=6.798, C=47.610
[E 9][B 1099], LR: 1.00E-03, 103.3 S/s, O=28.161, BC=14.784, BS=6.794, C=47.585
[E 9][B 1199], LR: 1.00E-03, 168.0 S/s, O=28.136, BC=14.782, BS=6.791, C=47.563
[E 9][B 1299], LR: 1.00E-03, 73.7 S/s, O=28.116, BC=14.781, BS=6.788, C=47.542
[E 9][B 1399], LR: 1.00E-03, 92.4 S/s, O=28.091, BC=14.779, BS=6.784, C=47.518
[E 9][B 1499], LR: 1.00E-03, 73.4 S/s, O=28.072, BC=14.778, BS=6.780, C=47.499
[E 9][B 1599], LR: 1.00E-03, 173.5 S/s, O=28.049, BC=14.776, BS=6.776, C=47.475
[E 9][B 1699], LR: 1.00E-03, 114.7 S/s, O=28.023, BC=14.774, BS=6.774, C=47.453
[E 9][B 1799], LR: 1.00E-03, 106.0 S/s, O=28.001, BC=14.772, BS=6.770, C=47.431
[E 9] 1321.9 sec, O=27.995, BC=14.772, BS=6.769, C=47.425
